codigo,nombre,carrera_codigo,ciclo,creditos,horas_teoricas,horas_practicas,pre_requisitos,tipo,activo
CC405,Investigación Operativa,ING-INF,VII,4,4,0,MA204,OBLIGATORIO,SI

CC406,Computación Gráfica,ING-INF,VIII,5,4,2,CC304,ELECTIVO,SI
CC407,Seguridad Informática,ING-INF,VIII,5,4,2,CC306,ELECTIVO,SI
CC408,Procesamiento de Imágenes,ING-INF,VIII,5,4,2,CC401,ELECTIVO,SI
CC409,Administración de Proyectos de TI,ING-INF,VIII,4,4,0,CC402,OBLIGATORIO,SI
CC410,Ética Profesional,ING-INF,VIII,3,3,0,,OBLIGATORIO,SI

CC501,Proyecto de Tesis I,ING-INF,IX,5,2,6,CC409,OBLIGATORIO,SI
CC502,Práctica Pre-Profesional,ING-INF,IX,5,0,10,CC409,OBLIGATORIO,SI
CC503,Sistemas Distribuidos,ING-INF,IX,5,4,2,CC403,ELECTIVO,SI
CC504,Inteligencia de Negocios,ING-INF,IX,5,4,2,CC302,ELECTIVO,SI
CC505,Realidad Virtual,ING-INF,IX,5,4,2,CC406,ELECTIVO,SI

CC506,Proyecto de Tesis II,ING-INF,X,10,4,12,CC501,OBLIGATORIO,SI
CC507,Seminario de Tesis,ING-INF,X,4,4,0,CC501,OBLIGATORIO,SI
CC508,Emprendimiento en TI,ING-INF,X,4,4,0,CC409,OBLIGATORIO,SI

IS101,Introducción a la Ingeniería de Sistemas,ING-SIS,I,3,3,0,,OBLIGATORIO,SI
IS201,Fundamentos de Programación,ING-SIS,II,4,3,2,IS101,OBLIGATORIO,SI
IS202,Matemática Discreta,ING-SIS,II,4,4,0,MA101,OBLIGATORIO,SI
IS301,Programación Orientada a Objetos,ING-SIS,III,5,4,2,IS201,OBLIGATORIO,SI
IS302,Base de Datos I,ING-SIS,III,4,3,2,IS201,OBLIGATORIO,SI

CI101,Introducción a la Ingeniería Civil,ING-CIV,I,3,3,0,,OBLIGATORIO,SI
CI201,Dibujo de Ingeniería,ING-CIV,II,4,2,4,CI101,OBLIGATORIO,SI
CI202,Topografía I,ING-CIV,II,4,2,4,CI101,OBLIGATORIO,SI
CI301,Estática,ING-CIV,III,4,4,0,MA102,OBLIGATORIO,SI
CI302,Topografía II,ING-CIV,III,4,2,4,CI202,OBLIGATORIO,SI

AD101,Introducción a la Administración,ADM-ADM,I,3,3,0,,OBLIGATORIO,SI
AD201,Contabilidad General,ADM-ADM,II,4,4,0,AD101,OBLIGATORIO,SI
AD202,Matemática Financiera,ADM-ADM,II,4,4,0,MA101,OBLIGATORIO,SI
AD301,Administración Financiera,ADM-ADM,III,4,4,0,AD201,OBLIGATORIO,SI
AD302,Microeconomía,ADM-ADM,III,4,4,0,AD101,OBLIGATORIO,SI

ME101,Anatomía Humana I,MED-MED,I,6,4,4,,OBLIGATORIO,SI
ME102,Bioquímica General,MED-MED,I,5,4,2,,OBLIGATORIO,SI
ME103,Biología Celular y Molecular,MED-MED,I,5,4,2,,OBLIGATORIO,SI
ME201,Anatomía Humana II,MED-MED,II,6,4,4,ME101,OBLIGATORIO,SI
ME202,Bioquímica Metabólica,MED-MED,II,5,4,2,ME102,OBLIGATORIO,SI

EN101,Fundamentos de Enfermería,ENF-ENF,I,4,2,4,,OBLIGATORIO,SI
EN102,Anatomía y Fisiología Humana I,ENF-ENF,I,5,4,2,,OBLIGATORIO,SI
EN201,Enfermería en Salud del Adulto I,ENF-ENF,II,5,3,4,EN101,OBLIGATORIO,SI
EN202,Anatomía y Fisiología Humana II,ENF-ENF,II,5,4,2,EN102,OBLIGATORIO,SI
EN203,Microbiología y Parasitología,ENF-ENF,II,4,3,2,EN102,OBLIGATORIO,SI

AR101,Introducción a la Arquitectura,ARQ,I,3,3,0,,OBLIGATORIO,SI
AR102,Dibujo Arquitectónico I,ARQ,I,4,2,4,,OBLIGATORIO,SI
AR201,Dibujo Arquitectónico II,ARQ,II,4,2,4,AR102,OBLIGATORIO,SI
AR202,Geometría Descriptiva,ARQ,II,4,2,4,AR101,OBLIGATORIO,SI
AR301,Diseño Arquitectónico I,ARQ,III,6,2,8,AR201,OBLIGATORIO,SI
